Attendance,Internal_Marks,Assignment_Marks,Study_Hours,Previous_Results
73,21,17,6.4,First Class
53,24,16,4.6,Second Class
78,28,20,5.2,First Class
60,23,22,5.1,First Class
83,15,16,6,First Class
71,24,18,6.6,First Class
84,14,7,3.8,Pass
88,25,12,6.7,First Class
74,21,17,6.6,First Class
80,25,19,3.7,Second Class
68,24,16,9.7,First Class
59,26,23,6,Distinction
96,22,11,3.9,First Class
53,22,18,4.4,First Class
84,30,19,3.8,First Class
63,27,15,4.9,First Class
64,21,10,2.8,Pass
81,28,17,5.5,First Class
91,26,18,3,First Class
81,28,17,8.9,Distinction
99,23,15,2.7,First Class
96,26,20,0.5,First Class
83,19,14,5,First Class
59,20,22,4.1,Second Class
76,16,18,2.6,Second Class
75,30,18,7.7,First Class
73,24,24,1.6,First Class
84,30,20,5.1,First Class
56,23,16,9,First Class
80,14,15,5.5,First Class
97,22,13,5.9,First Class
82,18,22,5.2,First Class
94,25,18,9.3,Distinction
71,23,23,5.2,First Class
93,19,10,5.6,First Class
66,26,19,3,First Class
72,15,19,4.9,Second Class
83,24,15,5.8,Distinction
64,24,17,9.5,First Class
85,20,17,8.8,First Class
100,20,18,4,Second Class
76,21,18,0.8,First Class
72,30,13,5.6,Distinction
62,15,15,5.9,Second Class
94,21,11,4.1,First Class
82,12,17,7.8,Distinction
83,24,12,3.3,Second Class
83,25,15,2.7,Second Class
58,25,8,4.3,Second Class
98,22,21,4.2,First Class
65,30,21,6,Distinction
75,25,18,4.6,Distinction
98,15,15,5.9,First Class
55,11,9,4.9,Pass
80,18,12,1,Second Class
81,27,20,4.6,Distinction
73,19,15,3.8,Pass
77,23,16,3.6,First Class
100,22,15,3.8,First Class
56,21,17,8.7,First Class
91,18,20,2.7,First Class
81,18,25,6.1,Second Class
83,20,17,5.9,First Class
44,16,20,7.6,First Class
100,12,20,1.2,First Class
79,16,25,6.3,Second Class
79,18,17,4.1,First Class
54,24,24,3.3,First Class
78,19,20,5.2,Second Class
100,26,16,3.7,First Class
93,21,19,4.6,First Class
73,26,16,6.7,Distinction
73,18,13,3.5,Pass
88,22,23,9.6,Distinction
52,20,17,2,Pass
79,20,14,3.5,First Class
73,18,16,6.9,Second Class
82,26,20,7.8,Distinction
92,18,15,7.4,First Class
75,16,19,3.7,Second Class
65,23,9,5.7,Second Class
66,27,19,3.8,Second Class
85,14,16,3.7,Second Class
78,22,22,5.5,First Class
57,26,19,7.9,First Class
75,22,17,5,Second Class
87,25,22,9.5,Distinction
74,22,25,1.5,First Class
53,9,9,2.2,Pass
62,21,12,6.2,Second Class
95,17,14,5.2,First Class
96,23,12,3.9,Second Class
86,24,17,6.7,First Class
73,23,23,4.8,First Class
59,25,15,5.7,Second Class
91,15,14,7.1,Second Class
74,22,13,7.7,Distinction
45,15,20,2.4,Pass
77,25,16,5.2,First Class
94,20,18,4,First Class
72,21,13,6.6,First Class
79,26,20,6.9,Distinction
78,26,17,3.1,First Class
47,22,19,7.5,First Class
89,22,13,2.2,Second Class
55,25,16,6.1,First Class
91,27,14,4.5,First Class
51,25,22,5,Second Class
91,10,18,5.3,Second Class
96,27,16,4.8,First Class
67,15,23,7.1,First Class
59,30,25,5.4,First Class
62,24,13,4.9,First Class
52,30,23,2.5,Second Class
71,17,16,0.5,Pass
100,16,16,2,Second Class
72,30,18,4.3,First Class
67,15,18,4.7,Second Class
81,19,19,8.5,First Class
100,21,14,9.9,Distinction
96,26,10,5.2,First Class
55,13,17,6.2,Second Class
70,18,13,3.9,Pass
72,22,13,4.5,Second Class
75,25,18,5.9,Second Class
69,23,20,1.8,Second Class
93,21,17,5.9,First Class
85,22,18,3.4,First Class
94,21,16,4,First Class
62,27,13,2.9,Second Class
77,23,21,4.2,First Class
61,28,20,6.1,First Class
63,20,19,5,Second Class
55,23,14,2.8,Second Class
47,25,20,4.9,Second Class
61,21,7,5.4,Second Class
70,20,18,5.7,First Class
75,19,15,5.4,First Class
70,17,14,0.8,Pass
55,16,9,2.8,Pass
55,13,18,4.3,Second Class
86,22,12,4.8,First Class
66,15,21,4.2,Second Class
75,27,18,4.3,First Class
100,29,20,2.8,Distinction
57,20,14,8.3,First Class
54,23,19,4.4,Second Class
64,20,17,4,Second Class
61,13,14,7.7,Second Class
100,24,12,3.3,First Class
57,30,13,6.4,Distinction
73,17,16,5.7,First Class
76,15,17,3.7,Pass
65,15,19,8.9,Distinction
66,20,20,7.1,First Class
73,30,17,4,First Class
84,17,16,2.7,Second Class
100,26,17,3.1,First Class
91,19,23,2.3,Second Class
100,12,22,1.3,Second Class
72,26,4,1.2,Pass
76,18,16,2.6,Second Class
62,23,19,7.9,First Class
70,22,16,4.9,Second Class
81,17,13,1.8,Second Class
73,28,18,1.6,Second Class
86,18,13,4.6,Second Class
60,20,15,0.5,Pass
63,29,12,1.8,First Class
51,19,19,4.3,Pass
78,21,22,6.2,Distinction
50,22,13,7.3,First Class
86,18,14,0.9,Second Class
83,21,21,6.5,Distinction
51,18,18,5.7,First Class
60,23,25,6.4,Distinction
75,26,24,5.2,Distinction
62,25,21,3.5,First Class
65,18,17,8.9,First Class
89,18,17,2.6,Second Class
88,22,23,4.6,First Class
94,19,11,7.6,First Class
43,22,15,8.5,Second Class
66,17,13,3.6,Pass
60,14,11,1.9,Pass
65,16,19,4.9,Second Class
68,30,18,6,Second Class
65,11,15,5.7,Pass
83,17,19,1.9,Second Class
81,25,16,8.9,Distinction
68,8,24,4.3,Pass
95,28,17,2.1,First Class
66,16,21,0.7,Second Class
82,30,18,0.9,Second Class
76,24,21,1.1,Second Class
90,30,24,4.2,Distinction
100,28,20,6.7,Distinction
53,27,16,4.9,Second Class
69,23,13,5.1,First Class
74,18,20,8.7,First Class
94,26,6,3.5,Second Class
87,23,19,6.3,First Class
64,16,16,4.8,Second Class
64,27,21,8.1,Distinction
78,25,19,3.7,Distinction
100,30,17,5.6,Distinction
75,25,17,4.6,Distinction
77,22,21,5.3,First Class
74,16,17,2.7,Second Class
57,27,20,5.6,First Class
81,12,13,4.7,Second Class
